Evolution of the BH masses and spins as functions of time.
Total number of time iterations: 964

              t                   M              a
    1.23833e-21         1.00000e+17    1.00000e-01
    2.47665e-21         1.00000e+17    1.00000e-01
    4.95331e-21         1.00000e+17    1.00000e-01
    9.90662e-21         1.00000e+17    1.00000e-01
    1.98132e-20         1.00000e+17    1.00000e-01
    3.96265e-20         1.00000e+17    1.00000e-01
    7.92530e-20         1.00000e+17    1.00000e-01
    1.58506e-19         1.00000e+17    1.00000e-01
    3.17012e-19         1.00000e+17    1.00000e-01
    6.34024e-19         1.00000e+17    1.00000e-01
    1.26805e-18         1.00000e+17    1.00000e-01
    2.53609e-18         1.00000e+17    1.00000e-01
    5.07219e-18         1.00000e+17    1.00000e-01
    1.01444e-17         1.00000e+17    1.00000e-01
    2.02888e-17         1.00000e+17    1.00000e-01
    4.05775e-17         1.00000e+17    1.00000e-01
    8.11550e-17         1.00000e+17    1.00000e-01
    1.62310e-16         1.00000e+17    1.00000e-01
    3.24620e-16         1.00000e+17    1.00000e-01
    6.49240e-16         1.00000e+17    1.00000e-01
    1.29848e-15         1.00000e+17    1.00000e-01
    2.59696e-15         1.00000e+17    1.00000e-01
    5.19392e-15         1.00000e+17    1.00000e-01
    1.03878e-14         1.00000e+17    1.00000e-01
    2.07757e-14         1.00000e+17    1.00000e-01
    4.15514e-14         1.00000e+17    1.00000e-01
    8.31027e-14         1.00000e+17    1.00000e-01
    1.66205e-13         1.00000e+17    1.00000e-01
    3.32411e-13         1.00000e+17    1.00000e-01
    6.64822e-13         1.00000e+17    1.00000e-01
    1.32964e-12         1.00000e+17    1.00000e-01
    2.65929e-12         1.00000e+17    1.00000e-01
    5.31858e-12         1.00000e+17    1.00000e-01
    1.06372e-11         1.00000e+17    1.00000e-01
    2.12743e-11         1.00000e+17    1.00000e-01
    4.25486e-11         1.00000e+17    1.00000e-01
    8.50972e-11         1.00000e+17    1.00000e-01
    1.70194e-10         1.00000e+17    1.00000e-01
    3.40389e-10         1.00000e+17    1.00000e-01
    6.80778e-10         1.00000e+17    1.00000e-01
    1.36156e-09         1.00000e+17    1.00000e-01
    2.72311e-09         1.00000e+17    1.00000e-01
    5.44622e-09         1.00000e+17    1.00000e-01
    1.08924e-08         1.00000e+17    1.00000e-01
    2.17849e-08         1.00000e+17    1.00000e-01
    4.35698e-08         1.00000e+17    1.00000e-01
    8.71395e-08         1.00000e+17    1.00000e-01
    1.74279e-07         1.00000e+17    1.00000e-01
    3.48558e-07         1.00000e+17    1.00000e-01
    6.97116e-07         1.00000e+17    1.00000e-01
    1.39423e-06         1.00000e+17    1.00000e-01
    2.78847e-06         1.00000e+17    1.00000e-01
    5.57693e-06         1.00000e+17    1.00000e-01
    1.11539e-05         1.00000e+17    1.00000e-01
    2.23077e-05         1.00000e+17    1.00000e-01
